state,lat,long,reps,pop,id
AL,32.7,-86.9,7,"4,849,377",1
AK,64.0,-152.2,1,"736,732",2
AZ,34.2,-111.6,9,"6,731,484",4
AR,34.8,-92.4,4,"2,966,369",5
CA,37.1,-119.4,53,"38,802,500",6
CO,38.9,-105.5,7,"5,355,866",8
CT,41.6,-72.7,5,"3,596,677",9
DE,38.9,-75.5,1,"935,614",10
DC,38.9,-77.0,1,"658,893",11
FL,28.6,-82.4,27,"19,893,297",12
GA,32.6,-83.4,14,"10,097,343",13
HI,20.2,-156.3,2,"1,419,561",15
ID,44.3,-114.6,2,"1,634,464",16
IL,40.0,-89.1,18,"12,880,580",17
IN,39.8,-86.2,9,"6,596,855",18
IA,42.0,-93.4,4,"3,107,126",19
KS,38.4,-98.3,4,"2,904,021",20
KY,37.5,-85.3,6,"4,413,457",21
LA,31.0,-91.9,6,"4,649,676",22
ME,45.3,-69.2,2,"1,330,089",23
MD,39.0,-76.7,8,"5,976,407",24
MA,42.2,-71.8,9,"6,745,408",25
MI,44.3,-85.4,14,"9,909,877",26
MN,46.2,-94.3,8,"5,457,173",27
MS,32.7,-89.6,4,"2,994,079",28
MO,38.3,-92.4,8,"6,063,589",29
MT,47.0,-109.6,1,"1,023,579",30
NE,41.5,-99.7,3,"1,881,503",31
NV,39.3,-116.6,4,"2,839,098",32
NH,43.6,-71.5,2,"1,326,813",33
NJ,40.1,-74.6,12,"8,938,175",34
NM,34.4,-106.1,3,"2,085,572",35
NY,42.9,-75.5,27,"19,746,227",36
NC,35.5,-79.3,13,"9,943,964",37
ND,47.4,-100.4,1,"739,482",38
OH,40.2,-82.7,16,"11,594,163",39
OK,35.5,-97.4,5,"3,878,051",40
OR,43.9,-120.5,5,"3,970,239",41
PA,40.8,-77.7,18,"12,787,209",42
RI,41.6,-71.5,2,"1,055,173",44
SC,33.9,-80.8,7,"4,832,482",45
SD,44.4,-100.2,1,"853,175",46
TN,35.8,-86.3,9,"6,549,352",47
TX,31.4,-99.3,36,"26,956,958",48
UT,39.3,-111.6,4,"2,942,902",49
VT,44.0,-72.6,1,"626,562",50
VA,37.5,-78.8,11,"8,326,289",51
WA,47.3,-120.4,10,"7,061,530",53
WV,38.6,-80.6,3,"1,850,326",54
WI,44.6,-89.9,8,"5,757,564",55
WY,42.9,-107.5,1,"584,153",56
